gps_millis,x_rx_wls_m,y_rx_wls_m,z_rx_wls_m,b_rx_wls_m,lat_rx_wls_deg,lon_rx_wls_deg,alt_rx_wls_m
1387166417007.0,-1271350.8351985207,5641606.800146982,2685709.471687269,1962648.298497054,25.057816036124198,102.69961178286098,1964.3125462515998
1387166418007.0,-1271351.9040223153,5641607.530567815,2685710.0442585032,1962742.7132798336,25.05781709538852,102.69962052225324,1965.4133906089758
1387166419007.0,-1271352.0405933058,5641607.610618657,2685710.224939956,1962836.2608404031,25.057818159256403,102.69962166787023,1965.587855502072
1387166420007.0,-1271351.8549629583,5641607.5258570155,2685710.149434381,1962929.4344845945,25.057818014013684,102.69962005835004,1965.4440028947479
1387166421007.0,-1271351.9443723438,5641607.615602623,2685710.208287963,1963022.8466060085,25.057818085390963,102.69962072702964,1965.5660449945656
1387166422007.0,-1271351.4550758537,5641607.380739565,2685709.8902498507,1963115.719267347,25.057816772238027,102.699616509475,1965.1263497404545
1387166423007.0,-1271351.1404204192,5641607.124735767,2685709.796233114,1963208.7768779912,25.057817222591577,102.69961402588912,1964.797631892423
1387166424007.0,-1271350.7503836416,5641606.684174818,2685709.627960325,1963301.746181666,25.057817817386702,102.69961121571038,1964.2593553767813
1387166425007.0,-1271350.8891334068,5641606.737156756,2685709.7305269935,1963395.2234156253,25.057818341750114,102.69961244134343,1964.3772486797927
1387166426007.0,-1271350.586764472,5641604.59536116,2685706.3934607776,1963485.3932283982,25.057799300678976,102.6996141838685,1961.0109299728215
1387166427007.0,-1271350.5697564539,5641604.444691255,2685706.3659983855,1963578.6624100443,25.057799652263654,102.6996143476519,1960.8627617004558
1387166428007.0,-1271350.653358956,5641604.503836033,2685706.620496504,1963672.231090584,25.05780144206207,102.69961502685823,1961.0394665973567
1387166429007.0,-1271351.0605303883,5641604.646130558,2685706.852515198,1963765.9653606792,25.05780246615734,102.69961865228741,1961.3445700859584
1387166430007.0,-1271350.9258605968,5641604.590933408,2685706.8963734093,1963859.270188754,25.057803143682435,102.69961747091227,1961.2875473582326
1387166431007.0,-1271351.3755187206,5641604.923250473,2685707.336399284,1963953.21611542,25.05780512404448,102.69962109309945,1961.8571364331087
1387166432007.0,-1271352.0967402533,5641605.382148493,2685707.65670872,1964047.2139571963,25.057805425524457,102.69962706427381,1962.5419652982046
1387166433007.0,-1271352.566451516,5641605.622058436,2685708.0023269216,1964141.0457731865,25.057806961790607,102.69963108154352,1962.993901313221
1387166434007.0,-1271352.3760463048,5641607.122889541,2685710.5338025666,1964236.6310929155,25.05782222100645,102.69962597235929,1965.3544582560287
1387166435007.0,-1271352.4719326042,5641607.155380379,2685710.6022692597,1964330.0905871326,25.057822579017156,102.69962682834306,1965.4312645520847
1387166436007.0,-1271352.5542039715,5641607.344544386,2685710.7585547892,1964423.6051045158,25.05782308221773,102.69962721149385,1965.6810087077733
1387166437007.0,-1271353.3827258477,5641607.745252387,2685711.3528551627,1964517.7490449373,25.057825750444575,102.6996343464746,1966.451826861195
1387166438007.0,-1271355.201643901,5641608.951500716,2685712.3629832976,1964612.8837078155,25.057827982319797,102.69964929921292,1968.3078696623895
1387166439007.0,-1271291.7252108762,5641568.629279609,2685677.7809532806,1964644.8426844862,25.05774895258145,102.69912361283855,1905.3866807491559
1387166440007.0,-1271291.607869668,5641568.550533816,2685677.7309777886,1964738.0615809886,25.05774893623523,102.69912265021948,1905.2725577425383
1387166441007.0,-1271357.4465991468,5641610.175571641,2685713.586852578,1964894.9808663214,25.05783153712773,102.69966833081311,1970.3550343945792
1387166442007.0,-1271291.4796764972,5641568.480356008,2685677.7101026066,1964924.6088449205,25.05774913496353,102.69912156405293,1905.176170277554
1387166443007.0,-1271291.6030433087,5641568.460221968,2685677.7463896316,1965018.030597042,25.057749403037008,102.69912280027026,1905.1983134845616
1387166444007.0,-1271290.8592538761,5641567.371691195,2685676.2127011586,1965109.6815273229,25.05774154848107,102.69911798220376,1903.4386709618566
1387166445007.0,-1271290.6046827007,5641567.443357548,2685676.11671761,1965202.8708652414,25.057740710463218,102.69911536563184,1903.4106564747153
1387166446007.0,-1271290.2967049284,5641567.292957917,2685675.837804889,1965295.807084762,25.057739249844627,102.69911271653187,1903.0982857861527
1387166447007.0,-1271290.1784936092,5641567.199910972,2685675.6314389654,1965388.9202245248,25.057738009014074,102.69911177665033,1902.9051150296011
1387166448007.0,-1271289.851461534,5641567.218083058,2685675.5517329946,1965482.0764121288,25.057737564421924,102.69910857623861,1902.822290667387
1387166449007.0,-1271289.3871559615,5641567.150042727,2685675.394738588,1965575.0836016003,25.057736924780485,102.69910423681965,1902.603207703387
