start,stop,type,location
2023-12-21 12:32:30,2023-12-21 12:37:00,P1,TX1
2023-12-21 12:38:41,2023-12-21 12:41:20,P1,TX1
2023-12-21 12:44:05,2023-12-21 12:55:50,P2,TX1
2023-12-21 12:57:00,2023-12-21 13:02:00,P2,TX1
2023-12-21 13:18:30,2023-12-21 13:23:40,P2,TX1
2023-12-21 13:27:50,2023-12-21 13:37:50,P2,TX1
2023-12-21 13:37:00,2023-12-21 13:46:00,P2,TX1
2023-12-21 13:47:10,2023-12-21 13:56:00,P1,TX1
2023-12-21 13:56:05,2023-12-21 13:59:59,P1,TX1
2023-12-21 14:05:00,2023-12-21 14:10:18,P1,TX1
2023-12-21 14:12:00,2023-12-21 14:15:00,P1,TX1
2023-12-21 14:18:00,2023-12-21 14:30:00,P3,TX1
2023-12-21 14:35:00,2023-12-21 14:40:15,P1,TX1
2023-12-21 14:45:00,2023-12-21 14:50:30,P1,TX2
2023-12-21 14:52:00,2023-12-21 14:58:00,P1,TX2
2023-12-21 15:11:00,2023-12-21 15:15:00,P2,TX2
2023-12-21 15:17:00,2023-12-21 15:30:00,P2,TX2
2023-12-21 15:43:00,2023-12-21 15:48:00,P2,TX3
2023-12-21 15:55:00,2023-12-21 16:00:00,P2,TX3
2023-12-21 16:10:00,2023-12-21 16:15:30,P2,TX4
2023-12-21 16:20:00,2023-12-21 16:23:00,P2,TX5
2023-12-21 16:30:00,2023-12-21 16:36:00,P2,TX5
2023-12-21 16:40:00,2023-12-21 16:44:00,P2,TX6
